value	count
0	1239
1	260
2	211
3	186
4	137
5	115
6	101
7	92
8	67
9	67
10	64
11	51
12	65
13	56
14	61
15	53
16	46
17	38
18	34
19	27
20	24
21	25
22	22
23	16
24	11
25	5
26	5
27	4
29	2
30	2
31	2
32	1
33	1
34	2
