value	count
1	587
2	76
3	95
4	97
5	58
6	39
7	49
8	76
9	119
10	113
11	103
12	112
13	83
14	83
15	62
16	39
17	47
18	44
19	44
20	29
21	33
22	31
23	31
24	20
25	22
26	16
27	21
28	18
29	17
30	12
31	7
32	772
33	5
34	11
35	6
36	5
37	4
38	3
39	5
40	7
41	5
42	3
43	5
44	2
45	5
46	1
47	6
48	4
49	4
50	6
51	3
52	3
53	3
54	1
55	3
56	4
57	4
58	2
59	5
60	5
61	5
62	2
63	6
64	4
