block	block_size	actual_nfe	budget
0	32	16	17
1	4	2	10
2	3	1	1
3	17	7	4
4	1	0	5
5	32	13	10
6	32	11	2
7	17	0	4
8	1	0	10
9	32	16	10
10	9	0	1
11	26	2	10
12	1	0	1
13	32	5	9
14	17	0	1
