bin	mid	count
-55..-51	-52.5	1
-50..-46	-47.5	0
-45..-41	-42.5	0
-40..-36	-37.5	4
-35..-31	-32.5	2
-30..-26	-27.5	15
-25..-21	-22.5	43
-20..-16	-17.5	81
-15..-11	-12.5	42
-10..-6	-7.5	7
-5..-1	-2.5	4
0..4	2.5	1
5..9	7.5	0
10..14	12.5	0
15..19	17.5	0
