block	block_size	actual_nfe	budget
0	32	14	15
1	4	0	4
2	32	16	1
3	32	21	4
4	32	16	11
5	28	1	10
6	32	17	1
7	2	0	10
8	1	0	10
9	32	4	13
10	29	0	2
