value	count
1	751
2	202
3	109
4	191
5	131
6	140
7	57
8	91
9	359
10	660
11	164
12	63
13	18
14	10
15	12
16	16
17	15
18	14
19	10
20	16
21	11
22	16
23	12
24	12
25	7
26	2
27	2
28	1
