d	layers	val_loss
32	2	2.305665
64	2	2.259428
128	2	2.267929
256	2	2.294741
512	2	2.351783
32	4	2.232907
64	4	2.216957
128	4	2.238085
256	4	2.289216
512	4	2.336493
256	6	2.289876
512	6	2.355017
